State,< 5,5 -- 9,10 -- 14,15 -- 20,21 -- 24,25 -- 34,35 -- 44,45 -- 54,55 -- 64,65 -- 74,> 75,Unknown,Total
Alabama,7,4,11,88,57,199,161,129,156,101,60,1,974
Alaska,1,0,0,3,7,10,12,9,9,6,3,0,60
Arizona,5,6,25,104,99,245,205,162,186,133,132,2,1304
Arkansas,6,3,11,50,50,96,95,74,95,56,58,2,596
California,25,30,33,326,358,860,658,562,540,396,251,22,4061
Colorado,3,3,11,85,54,146,113,92,85,74,54,0,720
Connecticut,3,0,2,22,39,58,59,41,33,26,25,0,308
Delaware,4,1,0,10,11,32,19,14,16,11,17,0,135
District of Columbia,0,0,0,2,6,13,6,8,5,2,2,0,44
Florida,31,29,34,268,218,620,505,415,455,398,358,65,3396
Georgia,19,12,17,125,131,300,281,214,250,151,108,7,1615
Hawaii,0,0,0,5,6,21,11,12,19,9,10,0,93
Idaho,2,3,7,29,27,43,44,31,35,32,22,0,275
Illinois,8,9,11,119,96,226,189,144,176,129,133,1,1241
Indiana,5,5,3,105,76,151,133,117,120,90,92,1,898
Iowa,4,2,6,36,31,54,49,55,55,52,33,0,377
Kansas,5,5,2,60,22,63,45,41,59,55,30,0,387
Kentucky,6,4,10,72,48,140,117,116,115,96,90,0,814
Louisiana,10,12,10,61,60,141,147,121,112,73,63,1,811
Maine,1,0,1,15,12,20,23,17,17,18,11,0,135
Maryland,3,2,4,44,49,136,95,75,101,58,52,2,621
Massachusetts,3,1,2,35,39,62,35,46,45,30,45,0,343
Michigan,5,7,13,78,88,184,168,132,152,148,119,0,1094
Minnesota,2,4,3,41,19,64,53,47,73,36,67,0,409
Mississippi,4,4,7,92,54,135,110,87,105,75,48,11,732
Missouri,6,7,9,104,61,186,147,124,147,105,95,0,991
Montana,0,1,5,21,18,36,28,26,35,19,19,0,208
Nebraska,2,2,3,23,18,37,34,35,31,16,26,0,227
Nevada,5,3,4,26,33,78,70,41,50,45,24,10,389
New Hampshire,0,0,0,6,12,19,16,21,19,23,14,0,130
New Jersey,3,5,8,41,55,97,86,69,78,78,85,1,606
New Mexico,4,1,2,33,45,83,79,59,55,49,24,3,437
New York,7,8,20,83,92,189,159,139,171,115,127,4,1114
North Carolina,12,12,17,134,118,288,280,216,221,134,128,1,1561
North Dakota,0,1,3,7,8,17,15,17,17,13,8,0,106
Ohio,15,6,11,110,95,212,201,165,163,135,129,0,1242
Oklahoma,3,6,5,68,41,123,127,94,102,91,58,0,718
Oregon,2,1,7,37,49,100,103,77,76,74,61,0,587
Pennsylvania,2,3,12,114,93,211,179,126,163,143,165,0,1211
Rhode Island,0,0,0,8,4,14,5,10,7,7,16,0,71
South Carolina,13,5,12,77,87,199,175,133,151,112,82,1,1047
South Dakota,1,0,1,17,7,26,18,16,23,20,11,0,140
Tennessee,17,1,14,131,118,239,195,190,177,120,118,3,1323
Texas,41,30,49,414,440,853,719,554,515,401,257,18,4291
Utah,1,3,5,41,23,38,38,41,46,21,23,0,280
Vermont,0,2,0,4,3,10,8,12,8,11,11,0,69
Virginia,4,5,7,75,65,171,146,107,141,99,92,1,913
Washington,3,6,9,85,88,166,116,88,106,76,64,3,810
West Virginia,1,1,3,30,14,51,32,30,41,27,29,1,260
Wisconsin,7,7,13,57,53,98,85,74,71,62,56,0,583
Wyoming,0,0,4,11,14,23,22,22,13,17,18,0,144